,WEO Country Code,ISO,WEO Subject Code,Country,Units,Scale,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
28,512,AFG,GGR,Afghanistan,U.S. dollars,Billions,0.2989004285170847,0.4473679009876689,0.6522948458632873,0.9086094396673291,1.3120007113588978,1.624418128867004,1.7541803408249907,2.3396706174132578,3.3289763810503272,3.804274092286498,5.115923434824254,4.9105804016725925,4.887120253753044,4.967852075299412,5.066414841526837,5.116803626717284,5.625160295701557,5.085358293413174,5.174935262309466,5.189078453121581,5.705620758511626,6.239530725785613,6.347777956210786,6.203146659936362,6.349279838911296
30,512,AFG,GGX,Afghanistan,U.S. dollars,Billions,0.3032000995770771,0.5430580283892316,0.7754426952601436,0.9681101513154011,1.2674650176249287,1.8376501526333637,2.153895965094327,2.5543333349801642,3.1877319429750797,3.9244646876068794,5.078973168277558,5.037849538425723,5.241793037428997,5.246432001434895,5.043519914630556,5.244095203273536,5.324452677959464,5.285087335329342,5.645554275919767,5.687544036014631,6.025094704513941,6.402920697783567,6.507007923205554,6.422180582471765,6.58710403221774
32,512,AFG,GGXCNL,Afghanistan,U.S. dollars,Billions,-0.004299671059992392,-0.09569012740156262,-0.12312694853986433,-0.05948048706899378,0.04455571877611569,-0.21323202376635983,-0.39973552150783853,-0.21466271756690666,0.14124443807524736,-0.12019059532038144,0.03695026654669647,-0.12726913675313165,-0.3546727836759535,-0.27856344114074205,0.02289492689628103,-0.12729157655625226,0.3007076177420934,-0.1997290419161677,-0.47061901361030056,-0.4984655828930503,-0.31948609376253395,-0.16340157887242984,-0.1592299669947689,-0.21903392253540171,-0.23781396254875162
38,512,AFG,GGXWDN,Afghanistan,U.S. dollars,Billions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,914,ALB,GGR,Albania,U.S. dollars,Billions,1.1010412223543555,1.3844492473492704,1.7956753215591008,2.0479675339452323,2.3065576240210373,2.789883884258147,3.457540361624162,3.142627609839677,3.0876738280966403,3.2772536567175656,3.05493837531231,3.065290808488575,3.4799241559223404,3.0112471216124823,3.2788785599804413,3.6229787772869444,4.161406098231971,4.18948461598041,3.9274843008212743,4.632318054725774,4.957970299360196,5.307709491686937,5.662260712062917,6.042784051341209,6.4630010220243115
75,914,ALB,GGX,Albania,U.S. dollars,Billions,1.3711255409553573,1.6653395146797136,2.1666253850033077,2.326386103314875,2.59685099371516,3.129326336470822,4.086667339082799,3.9358992674440967,3.507868938813375,3.7308241584782644,3.4789610552141714,3.7320037983778382,4.202824195340105,3.5029963041462446,3.4565249959252418,3.8047350575565084,4.3652959118920105,4.488473478190929,4.945300879718977,5.6650115414596955,5.482044294181842,5.756439159415202,6.1259112976688925,6.526115997719347,6.955623549264473
77,914,ALB,GGXCNL,Albania,U.S. dollars,Billions,-0.2700843186010018,-0.28089026733044326,-0.37094032313164943,-0.2784185693696427,-0.2902933696941225,-0.3394313940144667,-0.6291269774586371,-0.7932716576044199,-0.42019511071673454,-0.4535705017606988,-0.42402267990186143,-0.6667129898892634,-0.7229000394177639,-0.4917571229371614,-0.1776464359448006,-0.18175628026956436,-0.2038898136600396,-0.2989888622105181,-1.0178165788977032,-1.0326934867339217,-0.5240739948216464,-0.4487296677282644,-0.46364067981215346,-0.48334185661057844,-0.49262252724016115
83,914,ALB,GGXWDN,Albania,U.S. dollars,Billions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.501854177238548,7.465543565849596,8.724624290952187,8.680895127247709,7.8358044655618375,8.28514556394654,8.550340018701835,9.317184799354413,9.308054527147394,10.584281741417414,12.143231904591207,12.608744998181157,13.026907049176216,13.447016054656558,13.893848575254914,14.42873513607642
118,612,DZA,GGR,Algeria,U.S. dollars,Billions,19.805859149199613,19.111178417074427,22.247657797075995,26.576555556731023,30.492316728301837,44.459375006014184,56.36048153336291,51.225290764574346,70.61870443461902,50.34043028857358,57.55171302623137,73.56008906228412,78.67234049197266,59.16630963956133,52.429761135281424,46.02952295377247,42.97148730753998,50.6460421229373,53.81703776838103,47.92331688145859,36.67814834292518,32.812938537403625,34.495771262358026,34.14973652725334,33.9338566529858
120,612,DZA,GGX,Algeria,U.S. dollars,Billions,14.785369532148225,17.068785088437448,21.517346042510287,23.081716120074052,26.040642486626112,29.583300167114125,37.982484403777725,42.74083773624277,56.3418435424582,58.28582005826307,57.611169273763686,73.75197924963507,87.59314904867489,59.82753663653189,63.92158862777341,69.03725115807205,62.57188330065567,60.98596134284302,60.9527490182581,56.21052548415254,46.031998147780634,50.22548145262384,49.798846934798085,49.614215366449784,49.98030269175417
